Country,Region/State,City,"Zip/Postal Code From","Zip/Postal Code To",Weight>,Weight<=,"Shipping Price","Shipping Method",Discount
AU,*,*,2500,2530,17,18,36.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2500,2530,18,19,105.3,"""""""AU POST Express""""""",""
AU,*,*,2500,2530,18,19,38.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2500,2530,19,20,111,"""""""AU POST Express""""""",""
AU,*,*,2500,2530,19,20,39.5,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2500,2530,20,21,116.7,"""""""AU POST Express""""""",""
AU,*,*,2500,2530,20,21,40.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2500,2530,21,22,122.4,"""""""AU POST Express""""""",""
AU,*,*,2500,2530,21,22,42.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2531,2554,5,6,35.3,"""""""AU POST Express""""""",""
AU,*,*,2531,2554,5,6,20.4,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2531,2554,6,7,45.1,"""""""AU POST Express""""""",""
AU,*,*,2531,2554,6,7,22.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2531,2554,7,8,54.9,"""""""AU POST Express""""""",""
AU,*,*,2531,2554,7,8,24.2,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2531,2554,8,9,64.7,"""""""AU POST Express""""""",""
AU,*,*,2531,2554,8,9,26.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2531,2554,9,10,74.5,"""""""AU POST Express""""""",""
AU,*,*,2531,2554,9,10,28,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2531,2554,10,11,84.3,"""""""AU POST Express""""""",""
AU,*,*,2531,2554,10,11,29.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2531,2554,11,12,94.1,"""""""AU POST Express""""""",""
AU,*,*,2531,2554,11,12,31.8,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2531,2554,12,13,103.9,"""""""AU POST Express""""""",""
AU,*,*,2531,2554,12,13,33.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2531,2554,13,14,113.7,"""""""AU POST Express""""""",""
AU,*,*,2531,2554,13,14,35.6,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2531,2554,14,15,123.5,"""""""AU POST Express""""""",""
AU,*,*,2531,2554,14,15,37.5,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2531,2554,15,16,133.3,"""""""AU POST Express""""""",""
AU,*,*,2531,2554,15,16,39.4,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2531,2554,16,17,143.1,"""""""AU POST Express""""""",""
AU,*,*,2531,2554,16,17,41.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2531,2554,17,18,152.9,"""""""AU POST Express""""""",""
AU,*,*,2531,2554,17,18,43.2,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2531,2554,18,19,162.7,"""""""AU POST Express""""""",""
AU,*,*,2531,2554,18,19,45.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2531,2554,19,20,172.5,"""""""AU POST Express""""""",""
AU,*,*,2531,2554,19,20,47,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2531,2554,20,21,182.3,"""""""AU POST Express""""""",""
AU,*,*,2531,2554,20,21,48.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2531,2554,21,22,192.1,"""""""AU POST Express""""""",""
AU,*,*,2531,2554,21,22,50.8,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2555,2574,5,6,31.2,"""""""AU POST Express""""""",""
AU,*,*,2555,2574,5,6,19.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2555,2574,6,7,36.9,"""""""AU POST Express""""""",""
AU,*,*,2555,2574,6,7,21.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2555,2574,7,8,42.6,"""""""AU POST Express""""""",""
AU,*,*,2555,2574,7,8,22.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2555,2574,8,9,48.3,"""""""AU POST Express""""""",""
AU,*,*,2555,2574,8,9,24.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2555,2574,9,10,54,"""""""AU POST Express""""""",""
AU,*,*,2555,2574,9,10,25.5,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2555,2574,10,11,59.7,"""""""AU POST Express""""""",""
AU,*,*,2555,2574,10,11,26.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2555,2574,11,12,65.4,"""""""AU POST Express""""""",""
AU,*,*,2555,2574,11,12,28.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2555,2574,12,13,71.1,"""""""AU POST Express""""""",""
AU,*,*,2555,2574,12,13,29.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2555,2574,13,14,76.8,"""""""AU POST Express""""""",""
AU,*,*,2555,2574,13,14,31.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2555,2574,14,15,82.5,"""""""AU POST Express""""""",""
AU,*,*,2555,2574,14,15,32.5,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2555,2574,15,16,88.2,"""""""AU POST Express""""""",""
AU,*,*,2555,2574,15,16,33.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2555,2574,16,17,93.9,"""""""AU POST Express""""""",""
AU,*,*,2555,2574,16,17,35.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2555,2574,17,18,99.6,"""""""AU POST Express""""""",""
AU,*,*,2555,2574,17,18,36.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2555,2574,18,19,105.3,"""""""AU POST Express""""""",""
AU,*,*,2555,2574,18,19,38.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2555,2574,19,20,111,"""""""AU POST Express""""""",""
AU,*,*,2555,2574,19,20,39.5,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2555,2574,20,21,116.7,"""""""AU POST Express""""""",""
AU,*,*,2555,2574,20,21,40.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2555,2574,21,22,122.4,"""""""AU POST Express""""""",""
AU,*,*,2555,2574,21,22,42.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2575,2647,5,6,35.3,"""""""AU POST Express""""""",""
AU,*,*,2575,2647,5,6,20.4,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2575,2647,6,7,45.1,"""""""AU POST Express""""""",""
AU,*,*,2575,2647,6,7,22.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2575,2647,7,8,54.9,"""""""AU POST Express""""""",""
AU,*,*,2575,2647,7,8,24.2,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2575,2647,8,9,64.7,"""""""AU POST Express""""""",""
AU,*,*,2575,2647,8,9,26.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2575,2647,9,10,74.5,"""""""AU POST Express""""""",""
AU,*,*,2575,2647,9,10,28,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2575,2647,10,11,84.3,"""""""AU POST Express""""""",""
AU,*,*,2575,2647,10,11,29.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2575,2647,11,12,94.1,"""""""AU POST Express""""""",""
AU,*,*,2575,2647,11,12,31.8,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2575,2647,12,13,103.9,"""""""AU POST Express""""""",""
AU,*,*,2575,2647,12,13,33.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2575,2647,13,14,113.7,"""""""AU POST Express""""""",""
AU,*,*,2575,2647,13,14,35.6,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2575,2647,14,15,123.5,"""""""AU POST Express""""""",""
AU,*,*,2575,2647,14,15,37.5,"""""""AU POST Standard (Monday-Friday)""""""",""
